Category,Class Level,Difficulty,Task Name,Passage/Content/Problem,Questions/Options/Answers
Reading,4,Medium,The Sad Little Fir Tree,"The little fir tree was sad because it had needle-like leaves. No birds made nests on it. So, it asked a magician to change its leaves to gold, then glass, then soft green leaves.",
Reading,4,Medium,The White Rabbit's Watch,"Alice saw a white rabbit scamper by. He had pink eyes and was wearing a blue coat. He took a watch out of his pocket and said, ""Oh dear! I will be late!""",
Reading,4,Medium,Neha's Snooze Button,Neha's alarm clock rings at six every morning. She covers her ears with a pillow and snuggles under the warm blanket. She wishes the clock would forget its job sometimes.,
Reading,4,Medium,Together We Shine: A Teamwork Poem,"Together we stand, strong and tall, Helping each other, we never fall. Cheering aloud, we shout and sing, Teamwork can overcome anything. Win or lose, we always share, Our bond of trust is always there.",
Reading,4,Medium,"Boats, Ships, and Clouds","Boats sail on the rivers, and ships sail on the seas. But clouds that sail across the sky are prettier than these. The rainbow builds a bridge from earth to sky.",
Reading,4,Medium,The Wise Old Bird,High up in an old banyan tree lived a flock of wild geese. One of them was a wise old bird. He noticed a small creeper at the foot of the tree and warned his friends.,
Reading,5,Medium,The Land of Topsy-Turvy,"In the land of Topsy-turvy, the people walk on their heads. The sea is made of sand. The children go to school by night. You pay for what you never get.",
Reading,5,Medium,Strong Foundations,"Munna liked to play marbles and fly kites. Bhaiya was always studying. Bhaiya told Munna that building a strong foundation takes time, just like a building needs a strong base.",
Reading,5,Medium,The Ice-Cream Man's Cart,"The ice-cream man comes with his little cart. He goes trundling down the street. Beneath his round umbrella, what a joyful sight, to see him fill the cones with mounds of cooling delight.",
Reading,5,Medium,Rip Van Winkle's Kindness,Rip Van Winkle was a kind neighbor. Everyone in the village liked him. The children of the village shouted with joy whenever they saw him because he played with them.,
Reading,5,Medium,Robinson Crusoe's Footprint,"Robinson Crusoe was alone on the island. One day, he saw a footprint in the sand. He was frightened and ran back to his cave, which he called his castle.",
Reading,5,Medium,The Mystery in the Mango Garden,"It was a summer afternoon. Gopi was sitting in the veranda, reading a book. Suddenly, he heard something rustling past and falling with a thud in the garden. He wondered what it could be. Perhaps, it was a mango falling from the tree. Immediately, Gopi put his book aside, got up, and ran into the garden.",
Reading,6,Medium,The Bond of Friendship,"Jumman Shaikh and Algu Chowdhry were good friends. So strong was their bond of friendship that when either of them went away from the village, the other looked after his family.",
Reading,6,Medium,Gajaraj and the Lonely Royal Stable,"Gajaraj, the elephant, lived in the best booth of the royal stables. The king was fond of Gajaraj, and he had ordered that the elephant should be well looked after. In spite of royal comforts, Gajaraj was sad because he had no friends. The mahout, or elephant trainer, was the only one he ever interacted with.",
Reading,6,Medium,Patrick's Homework Elf,"Patrick never did his homework. ""Too boring,"" he said. He played hockey and basketball instead. One day he found his cat playing with a little doll, but it wasn't a doll at all, it was a tiny elf.",
Reading,6,Medium,Taro and the Magic Waterfall,"Taro saw a beautiful little waterfall hidden behind a rock. Kneeling at a place where the water flowed quietly, he cupped a little in his hands and put it to his lips. Was it water? Or was it sake?",
Reading,6,Medium,Kalpana Chawla's Dream,Kalpana Chawla was the first Indian-American woman astronaut. She said that the path from dreams to success does exist. May you have the vision to find it and the courage to get onto it.,
Reading,6,Medium,The Wise Shepherd,"The shepherd was very poor. He did not have even a small cottage of his own. He had never been to school or learnt to read and write, for there were very few schools in those days.",
Reading,7,Hard,Timothy the Tiger Cub,"Timothy, the tiger cub, was discovered by Grandfather in the Terai jungle near Dehra. He was about eighteen inches long, hiding among the intricate roots of a banyan tree.",
Reading,7,Hard,Inside the Termite Mound,"Termites are very hard-working. They build comfortable homes with sitting rooms, food storage rooms, and nurseries for the young ones. The queen ant lays eggs, which the soldiers guard.",
Reading,7,Hard,Soapy's Winter Quest,Soapy turned off Broadway. It seemed that his route to the coveted island was not to be an epicurean one. Some other way of entering the limbo must be devised. The winter was coming and he needed a warm place.,
Reading,7,Hard,The King's Three Questions,"The king thought that if he knew three things, he would never fail: what is the right time to begin something, which people should he listen to, and what is the most important thing for him to do.",
Reading,7,Hard,Lalli's Violin Lesson,"Mridu crept up to the window. Lalli was sitting a little distance away, awkwardly holding her violin and bowstring, her elbows jutting out and her eyes glazed with concentration.",
Reading,7,Hard,Secrets of India’s Ancient Stepwells,"There are many ancient places to visit in India. For example, Rani-ki-Vav (the Queen’s Stepwell) is located at Patan, Gujarat and is also on the World Heritage list by UNESCO. Stepwells are a distinctive form of water resource and storage systems on the Indian subcontinent, and were constructed during ancient times. They evolved over time from what was basically a pit in sandy soil towards elaborate multi-storey works of art and architecture.",
Reading,8,Hard,The Sprint of the Cheetah,"The spotted cheetah is the fastest animal on earth. Its speed can reach up to 112 kilometers per hour. However, it cannot maintain this speed for long distances, only for short bursts.",
Reading,8,Hard,Bepin Babu's Memory Lapse,"Bepin Babu didn't want to visit Mr. Mukerji. Thinking about what he had said would only make him anxious. Yet, he couldn't ignore the possibility that he had indeed lost his memory about the trip to Ranchi.",
Reading,8,Hard,The Great Stone Face,"The Great Stone Face was a work of nature, formed on the perpendicular side of a mountain by some immense rocks, which had been thrown together so that, when viewed at a proper distance, they resembled the features of a human face.",
Reading,8,Hard,Jody Finds the Fawn,"Jody allowed his thoughts to drift back to the fawn. He could not keep it out of his mind. He had held it, in his dreams, in his arms. He slipped from the table and went to his father's bedside.",
Reading,8,Hard,Macavity the Mystery Cat,"Macavity is a mystery cat: he's called the Hidden Paw. For he's the master criminal who can defy the Law. He's the bafflement of Scotland Yard, the Flying Squad's despair.",
Reading,8,Hard,The Golden Age of Vijayanagara,"The Vijayanagara Empire was renowned for its glory, wealth, and cultural achievements. Among its many illustrious rulers, King Krishnadeva Raya (ruled 1509–29 CE) stood out as a wise and powerful monarch. His reign is often referred to as the Golden Era of the Vijayanagara Empire, a time when art, literature, and architecture flourished. A great patron of learning, Krishnadeva Raya was not only an eminent warrior but also a gifted poet.",
Reading,9,Hard,Margie and the Mechanical Teacher,"Margie always hated school, but now she hated it more than ever. The mechanical teacher had been giving her test after test in geography and she had been doing worse and worse until her mother had shaken her head sorrowfully.",
Reading,9,Hard,Evelyn Glennie's Music,Evelyn Glennie's loss of hearing had been gradual. Her mother remembers noticing something was wrong when the eight-year-old Evelyn was waiting to play the piano. They called her name and she didn't move.,
Reading,9,Hard,Toto the Mischievous Monkey,"Toto was a pretty monkey. His bright eyes sparkled with mischief beneath deep-set eyebrows, and his teeth, which were a pearly white, were very often displayed in a smile that frightened the life out of elderly Anglo-Indian ladies.",
Reading,9,Hard,The Road Not Taken,"Two roads diverged in a yellow wood, And sorry I could not travel both. And be one traveler, long I stood, And looked down one as far as I could, To where it bent in the undergrowth.",
Reading,9,Hard,"First Day, Big Dreams, Silent Strength","Rush hour crowds jostle for position on the underground train platform. A slight girl, looking younger than her seventeen years, was nervous yet excited as she felt the vibrations of the approaching train. It was her first day at the prestigious Royal Academy of Music in London and daunting enough for any teenager fresh from a Scottish farm. But this aspiring musician faced a bigger challenge than most: she was profoundly deaf.",
Reading,9,Hard,Scaling Mt. Everest,"Santosh Yadav is the only woman in the world who has scaled Mt Everest twice. She was born in a society where the birth of a son was regarded as a blessing, and a daughter, though not considered a curse, was not generally welcome.",
Reading,10,Hard,The Tale of Custard the Dragon,"Belinda lived in a little white house, With a little black kitten and a little gray mouse, And a little yellow dog and a little red wagon, And a realio, trulio, little pet dragon.",
Reading,10,Hard,A Long Walk to Freedom,Tenth May dawned bright and clear. For the past few days I had been pleasantly besieged by dignitaries and world leaders who were coming to pay their respects before the inauguration. The inauguration would be the largest gathering ever of international leaders on South African soil.,
Reading,10,Hard,The Seagull's Fear,"The young seagull was alone on his ledge. His two brothers and his sister had already flown away the day before. He had been afraid to fly with them. Somehow when he had taken a little run forward to the brink of the ledge, he became afraid.",
Reading,10,Hard,Peggy and the Dresses,"Peggy was not really cruel. She protected small children from bullies. And she cried for hours if she saw an animal mistreated. If anybody had said to her, ""Don't you think that is a cruel way to treat Wanda?"" she would have been very surprised.",
Reading,10,Hard,A Letter to God,The house—the only one in the entire valley—sat on the crest of a low hill. From this height one could see the river and the field of ripe corn dotted with the flowers that always promised a good harvest. The only thing the earth needed was a downpour.,
Reading,10,Hard,Echoes from the Old Portuguese Bakery,"Our elders are often heard reminiscing nostalgically about those good old Portuguese days, the Portuguese and their famous loaves of bread. Those eaters of loaves might have vanished but the makers are still there. We still have amongst us the mixers, the moulders and those who bake the loaves. Those age-old, time-tested furnaces still exist. The fire in the furnaces has not yet been extinguished.",
Reading,11,Hard,A White Horse at Dawn,"One day back there in the good old days when I was nine and the world was full of every imaginable kind of magnificence, and life was still a delightful and mysterious dream, my cousin Mourad, who was considered crazy by everybody who knew him except me, came to my house at four in the morning and woke me up tapping on the window of my room. Aram, he said. I jumped out of bed and looked out of the window. My cousin Mourad was sitting on a beautiful white horse.",
Reading,11,Hard,The Saga of King Tut,The archaeological survey was not easy. King Tut was just a teenager when he died. He was the last heir of a powerful family that had ruled Egypt and its empire for centuries. He was laid to rest laden with gold and eventually forgotten.,
Reading,11,Hard,Taplow and Mr. Crocker-Harris,"Taplow is a boy of sixteen who has come in to do extra work for Mr. Crocker-Harris. He is waiting for his master, who has not yet arrived. Frank, a younger teacher, finds Taplow imitating the older master.",
Reading,11,Hard,The Silent Laburnum Top,"The laburnum top is silent, quite still. In the afternoon yellow September sunlight, A few leaves yellowing, all its seeds fallen. Till the goldfinch comes, with a twitching chirrup.",
Reading,11,Hard,Surviving the Wave,"We were not afraid to die if we could all be together. The waves were gigantic. At dawn on January 2, the waves were gigantic. We were sailing with only a small storm jib and were still making eight knots.",
Reading,11,Hard,The Portrait of a Lady,"My grandmother, like everybody's grandmother, was an old woman. She had been old and wrinkled for the twenty years that I had known her. People said that she had once been young and pretty and had even had a husband, but that was hard to believe.",
Reading,12,Hard,The Mysterious Third Level,"The presidents of the New York Central and the New York, New Haven and Hartford railroads will swear on a stack of timetables that there are only two. But I say there are three, because I’ve been on the third level of the Grand Central Station. Yes, I’ve taken the obvious step: I talked to a psychiatrist friend of mine, among others. I told him about the third level at Grand Central Station, and he said it was a waking-dream wish fulfillment.",
Reading,12,Hard,The Last Lesson Notice,"When I passed the town hall there was a crowd in front of the bulletin board. For the last two years all our bad news had come from there—the lost battles, the draft, the orders of the commanding officer—and I thought to myself, without stopping, ""What can be the matter now?""",
Reading,12,Hard,Saheb's Search for Gold,"Saheb is looking for gold in the garbage dumps of the city. He left his home in Dhaka long ago. He does not even remember it. His mother told him that there were many storms that swept away their fields and homes, his house is not even a distant memory.",
Reading,12,Hard,Douglas and the Deep Water,"Douglas had an aversion to water when he was three or four years old. His father took him to the beach in California. He hung on to his father, yet the waves knocked him down and swept over him. He was buried in water.",
Reading,12,Hard,The World as a Rattrap,"The peddler had been thinking of his rattraps when suddenly he was struck by the idea that the whole world about him—the whole world with its lands and seas, its cities and villages—was nothing but a big rattrap.",
Reading,12,Hard,Gandhi's Conflict of Duties,"Gandhi told the court that he was involved in a ""conflict of duties""—on the one hand, not to set a bad example as a lawbreaker; on the other hand, to render the ""humanitarian and national service"" for which he had come.",
Typing,1,Easy,My School and Friends,I like my school and my friends.,
Typing,1,Easy,My Best Friend,I like to play games with my best friend.,
Typing,1,Easy,Blue Sky Day, The sky is blue and the sun is hot.,
Typing,1,Easy,Yummy Apple,The red apple is very sweet and yummy.,
Typing,1,Easy,Green Garden,I see a big green tree in the park.,
Typing,1,Easy,The Playful Cat,The cat likes to play with the red ball.,
Typing,2,Easy,The Rising Sun,The sun rises in the east every morning.,
Typing,2,Easy,Reading Time,I love to read story books before I go to sleep.,
Typing,2,Easy,The Night Stars,"At night, the moon and stars shine bright in the sky.",
Typing,2,Easy,Rainy Day Fun,We wear raincoats and jump in the wet puddles.,
Typing,2,Easy,School Bus Ride,The yellow school bus comes to pick us up everyday.,
Typing,2,Easy,Morning Birds,The little birds sing a happy song every morning.,
Typing,3,Medium,The Lion King,The lion is known as the king of the jungle. He has a loud roar that can be heard from very far away.,
Typing,3,Medium,Healthy Eating,Eating fresh fruits and green vegetables makes us strong. Milk helps our bones grow. We should avoid eating too much candy and junk food.,
Typing,3,Medium,Water is Life,All living things need water to survive. We should not waste water while brushing our teeth or washing hands. Save every drop you can.,
Typing,3,Medium,Traffic Lights,"We must follow traffic rules to stay safe. Red light says stop, yellow says wait, and green says go. Always cross at the zebra crossing.",
Typing,3,Medium,Parts of a Plant,"Plants have roots, stems, leaves, and flowers. The roots hold the plant in the soil. The leaves make food for the plant using sunlight.",
Typing,3,Medium,Soil and Living Things,"Soil is the topmost layer of the Earth’s surface. Soil is made from rocks that have broken up into tiny pieces, as well as old leaves, roots, stems and living and dead animals like insects.",
Typing,4,Medium,The Wise Ant,Ants are very hard-working insects. They work together in a team to find food and build their homes. We can learn about teamwork from them.,
Typing,4,Medium,Forest Protection,Forests are home to many wild animals like tigers and bears. People should not cut down trees because trees give us clean air to breathe.,
Typing,4,Medium,Solar System Basics,The sun is a huge ball of hot fire. There are eight planets that go around the sun. Our Earth is the third planet from the sun and has life on it.,
Typing,4,Medium,Mystery Masala Stall,"Mukesh and his friends lined up at a colourful stall named ‘Mystery Masala’ to try a unique food made by their classmates. This food had a hint of sweetness, it was also a little salty, and a bit bitter too.",
Typing,4,Medium,Seasons of India,"India has different seasons like summer, monsoon, and winter. In summer, it is very hot. In monsoon, it rains a lot. In winter, it gets cold.",
Typing,4,Medium,A Visit to the Zoo,"Last Sunday, we went to the city zoo. We saw a tall giraffe eating leaves from a high tree and a monkey swinging on a rope.",
Typing,5,Medium,Recycling Waste,We should separate our waste into wet and dry bins. Old paper and plastic bottles can be recycled to make new things. This helps keep our environment clean.,
Typing,5,Medium,Importance of Sports,Playing sports keeps our body fit and healthy. It teaches us discipline and how to work in a team. Cricket and football are very popular sports in our country.,
Typing,5,Medium,The Great Himalayas,"The Himalayas are the highest mountain range in the world. They protect India from the cold winds of the north. Mount Everest, the highest peak, is part of this range.",
Typing,5,Medium,The Festival of Lights,Diwali is the festival of lights celebrated across India. People decorate their homes with earthen lamps and rangoli. It marks the victory of good over evil and light over darkness.,
Typing,5,Medium,Computer Basics,"A computer is an electronic machine that makes our work easier. It has a monitor, a keyboard, and a mouse. We can use it to draw, type, and search the internet.",
Typing,5,Medium,Republic Day Parade,"We enjoyed watching the Republic Day parade in New Delhi, the fighter jets flying in the sky, the state tableaux and the cultural programmes! The parade also featured the Indian Defence Forces, the Army, the Navy, the Airforce, the paramilitary and other forces.",
Typing,6,Medium,Diversity in India,"India is a country of vast diversity. People speak different languages, celebrate different festivals, and eat different kinds of food. Despite these differences, we are all united as Indians.",
Typing,6,Medium,Handpicking Method,"The method of picking by hand from a mixture (when two or more substances are mixed) such as small stones and husk from wheat and rice is called handpicking. It is done on the basis of differences in size, colour and shape of the particles.",
Typing,6,Medium,Early Humans,"Early humans lived in caves and were hunters and gatherers. They used tools made of stone to hunt animals and chop wood. Later, they discovered fire which changed their lives.",
Typing,6,Medium,Magnetic Poles,"A magnet has two poles, the North Pole and the South Pole. Opposite poles of two magnets attract each other, while similar poles repel each other. Magnets are used in compasses.",
Typing,6,Medium,Balanced Diet,"A balanced diet provides all the nutrients that our body needs, in right quantities, along with adequate amount of roughage and water. It includes carbohydrates, proteins, fats, vitamins, and minerals.",
Typing,6,Medium,Motion and Measurement,"In ancient times, people used the length of a foot or the width of a finger to measure distance. Today, we use standard units like meters and kilometers for accurate measurement.",
Typing,7,Hard,Mughal Architecture,"The Mughals built many magnificent monuments in India. The Taj Mahal in Agra is a famous example of their architecture, built by Shah Jahan in memory of his wife Mumtaz Mahal.",
Typing,7,Hard,Silk Production,"Silk is obtained from silkworms. The rearing of silkworms for obtaining silk is called sericulture. The silkworm spins a cocoon of silk threads around itself, which is then processed to make fabric.",
Typing,7,Hard,Acids and Bases,"Substances that taste sour are called acids, like lemon juice. Substances that taste bitter and feel soapy are called bases, like baking soda. Indicators change color to tell us if a substance is acidic or basic.",
Typing,7,Hard,Role of Media,The media plays a significant role in democracy. It provides news and discusses events taking place in the country and the world. It is through the media that we learn about government works.,
Typing,7,Hard,Photosynthesis Process,Photosynthesis is the process by which green plants make their own food. They use carbon dioxide from the air and water from the soil in the presence of sunlight and chlorophyll.,
Typing,7,Hard,Managing School Tasks,"A school is full of activities and things that must be done. Many day-to-day tasks need to be managed, and things need to be organised. For example, there are timetables to be made and followed, sports activities to be organised, food to be served during lunch time (also called the mid-day-meal), utensils to be cleaned, speakers to be decided for the morning assembly, and activities to be arranged for ‘No Bag Days’.",
Typing,8,Hard,The Indian Constitution,"The Constitution of India is the supreme law of the land. It lays down the framework defining fundamental political principles, establishes the structure of government institutions, and sets out fundamental rights and duties of citizens.",
Typing,8,Hard,Microorganisms: Friend or Foe,"Microorganisms are tiny living organisms that cannot be seen with the naked eye. Some are beneficial, like those used to make curd and bread, while others are harmful and cause diseases in humans and plants.",
Typing,8,Hard,Force and Pressure,A push or a pull on an object is called a force. Force can change the state of motion or the shape of an object. Pressure is defined as the force acting on a unit area of a surface.,
Typing,8,Hard,Combustion and Flame,"Combustion is a chemical process in which a substance reacts with oxygen to give off heat. The substance that undergoes combustion is said to be combustible. A flame is the visible, gaseous part of a fire.",
Typing,8,Hard,Conservation of Plants,"Deforestation creates a major threat to the survival of many plants and animals. We must protect our flora and fauna by establishing national parks, wildlife sanctuaries, and biosphere reserves to maintain the ecological balance.",
Typing,8,Hard,Picnic and Air Pressure,"Megha and her brother Pawan are going on a picnic. They walk to the picnic spot, carrying identical items in their bags. On the way, Pawan keeps adjusting his bag, and looks uncomfortable. Megha asks, “Is there a problem with your bag?” Pawan responds, “Yes, it is hurting my shoulders.” Megha says, “Both our bags are equally heavy. Why does your bag hurt, and mine doesn’t?”",
Typing,9,Hard,Democracy Definition,"Democracy is a form of government in which the rulers are elected by the people. In a democracy, the final decision-making power must rest with those elected by the people. It must be based on a free and fair election.",
Typing,9,Hard,The Cell Structure,"The cell is the fundamental structural and functional unit of all living organisms. It consists of a plasma membrane, nucleus, and cytoplasm. Plant cells differ from animal cells as they have a cell wall and chloroplasts.",
Typing,9,Hard,Story of Village Palampur,"Farming is the main production activity in Palampur. Over the years, there have been important changes in the way farming is practiced. These changes have allowed the farmers to produce more crops from the same amount of land.",
Typing,9,Hard,Laws of Motion,Newton's first law of motion states that an object remains in a state of rest or of uniform motion in a straight line unless compelled to change that state by an applied force. This is also known as the law of inertia.,
Typing,9,Hard,Climate of India,"The Tropic of Cancer passes through the middle of the country from the Rann of Kuchchh in the west to Mizoram in the east. Almost half of the country, lying south of the Tropic of Cancer, belongs to the tropical area. All the remaining area, north of the Tropic, lies in the sub-tropics. Therefore, India’s climate has characteristics of tropical as well as subtropical climates.",
Typing,9,Hard,Drainage Systems,"The drainage systems of India are mainly controlled by the broad relief features of the subcontinent. Accordingly, the Indian rivers are divided into two major groups: the Himalayan rivers and the Peninsular rivers.",
Typing,10,Hard,Sustainable Development,"Sustainable development implies that development should take place without damaging the environment, and development in the present should not compromise the needs of the future generations. It requires planning for the efficient use of resources.",
Typing,10,Hard,Sectors of Economy,"The Indian economy is classified into three sectors: primary, secondary, and tertiary. The primary sector involves using natural resources, the secondary sector involves manufacturing, and the tertiary sector provides services like banking and transport.",
Typing,10,Hard,Power Sharing,Power sharing is good because it helps to reduce the possibility of conflict between social groups. It is the very spirit of democracy. A democratic rule involves sharing power with those affected by its exercise.,
Typing,10,Hard,Light Reflection,"Reflection is the bouncing back of light when it strikes a polished surface. The laws of reflection state that the angle of incidence is equal to the angle of reflection, and the incident ray, normal, and reflected ray all lie in the same plane.",
Typing,10,Hard,Chemical Reactions,A chemical reaction involves the breaking and making of bonds between atoms to produce new substances. A balanced chemical equation has an equal number of atoms of different elements in the reactants and products.,
Typing,10,Hard,Understanding Federalism,"Federalism is a system of government in which the power is divided between a central authority and various constituent units of the country. Usually, a federation has two levels of government. One is the government for the entire country that is usually responsible for a few subjects of common national interest. The others are governments at the level of provinces or states that look after much of the day-to-day administering of their state. Both these levels of governments enjoy their power independent of the other.",
Typing,11,Hard,E-Business and Technology,"Electronic mode of doing business, or e-business as it is referred to, presents the firm with promising opportunities for anything, anywhere and anytime to its customers, thereby, dismantling the time and space/locational constraints on its performance. Though e-business is high-tech, it suffers from the limitation of being low in personal touch. The customers as a result do not get attended to on an interpersonal basis. Besides, there are concerns over security of e-transactions and privacy of those who transact business over the internet.",
Typing,11,Hard,Sociology and Society,"Sociology is the systematic study of society and social interaction. It explores how individual behavior is influenced by social structures, cultures, and historical context. It helps us understand the connection between personal troubles and public issues.",
Typing,11,Hard,Newtonian Mechanics,Classical mechanics deals with the motion of bodies under the influence of forces. It is based on Newton's laws of motion and the law of universal gravitation. These laws accurately describe the motion of macroscopic objects.,
Typing,11,Hard,Financial Accounting,"Accounting is the process of identifying, measuring, recording, and communicating the required financial information to the interested users. It helps in assessing the financial health and performance of a business entity over a period of time.",
Typing,11,Hard,The Constitution at Work,The Constitution is a body of fundamental principles according to which a state is constituted or governed. It specifies the basic allocation of power in a society and decides who gets to decide what the laws will be.,
Typing,11,Hard,Business Trade,Trade and commerce have been the backbone of the Indian economy for centuries. Indigenous banking systems played a prominent role in lending money and financing domestic and foreign trade with currency and letters of credit.,
Typing,12,Hard,Rural Livelihoods in India,"Agriculture is the single most important source of livelihood for the majority of the rural population. But the rural is not just agriculture. Many activities that support agriculture and village life are also sources of livelihood for people in rural India. For example, a large number of artisans such as potters, carpenters, weavers, ironsmiths, and goldsmiths are found in rural areas. They were once part and parcel of the village economy. Their numbers have been steadily lessening since the colonial period.",
Typing,12,Hard,Nature of Management,Management is defined as a process of getting things done with the aim of achieving goals effectively and efficiently. It is a dynamic function that has to adapt to the changing environment of the business world.,
Typing,12,Hard,Macroeconomics Scope,"Macroeconomics is the branch of economics that studies the behavior and performance of an economy as a whole. It focuses on the aggregate changes in the economy such as unemployment, growth rate, gross domestic product, and inflation.",
Typing,12,Hard,The Cold War Era,"The Cold War was the competition, the tensions, and a series of confrontations between the United States and the Soviet Union, backed by their respective allies. It was an ideological conflict between capitalism and communism.",
Typing,12,Hard,Electric Charges,"Electrostatics deals with the study of forces, fields, and potentials arising from static charges. Electric charge is an intrinsic property of elementary particles of matter which gives rise to electric force between various objects.",
Typing,12,Hard,Human Geography,Human geography studies the inter-relationship between the physical environment and the socio-cultural environment created by human beings through mutual interaction with each other. It emphasizes the adaptive and adjustment capabilities of humans.,
Writing,1,Easy,Two Little Hands,"Two little hands go clap, clap, clap. Two little legs go tap, tap, tap.",
Writing,1,Easy,My Flying Car,Imagine you have a car that can fly in the sky like a bird.,
Writing,1,Easy,The Lost Puppy,A small puppy is lost in the park. He looks sad. A nice girl sees him.,
Writing,1,Easy,Rainy Day Fun,"It is raining outside. Pitter patter, splash! You have a red umbrella.",
Writing,1,Easy,The Hungry Caterpillar,A little green caterpillar is very hungry. He looks for something yummy to eat.,
Writing,1,Easy,My Magic Shoes,"Imagine you have magic shoes. When you wear them, you can jump very high!",
Writing,2,Easy,The Sun and the Wind,"The Sun and the Wind had a fight. ""I am stronger than you,"" said the Wind. ""No, you are not,"" said the Sun. A man was walking down the road. He was wearing a coat. The Sun said, ""I have a plan. Let us see who can get his coat off.""",
Writing,2,Easy,The Magic Pencil,You found a pencil. Whatever you draw with it becomes real! You drew a pizza and it became a real pizza.,
Writing,2,Easy,If I Were a Bird,Birds can fly high in the sky and see everything from above. They build nests in trees.,
Writing,2,Easy,The Broken Toy,Rohan broke his sister's favorite toy by mistake. She is crying. He feels sorry.,
Writing,2,Easy,A Day at the Zoo,"You went to the zoo with your class. You saw a lion, a monkey, and a tall giraffe.",
Writing,2,Easy,The Talking Tree,"One day, a boy sat under a big oak tree. Suddenly, the tree said, ""Hello!"" The boy was surprised.",
Writing,3,Medium,A Visit to the Village,"Villages have open fields, farm animals, and fresh air. It is very different from the busy city.",
Writing,3,Medium,The Honest Woodcutter,"A woodcutter dropped his axe in the river. A fairy offered him a gold axe, but he said ""No"". Then she offered a silver axe.",
Writing,3,Medium,My Dream Job,"There are many jobs like doctors, teachers, pilots, and artists. They all help people in different ways.",
Writing,3,Medium,Helping Mother Earth,"Our planet gives us water, air, and food. But sometimes we make it dirty with trash.",
Writing,3,Medium,The Best Birthday,"Think about your best birthday ever. Maybe you had a cake, or gifts, or played with friends.",
Writing,3,Medium,Save Water,"Water is very important for life. We get water from rain, rivers, ponds, and wells. All animals and plants need water to live. We use water for many things in our daily life, such as drinking, cooking, washing, and growing crops. We must not waste water.",
Writing,4,Medium,My Favorite Festival,"India has many festivals like Diwali, Eid, Christmas, and Holi. We wear new clothes and eat sweets.",
Writing,4,Medium,Life Without Electricity,"Imagine one evening the lights go out and do not come back for a whole week. No TV, no fans, no phones.",
Writing,4,Medium,The Secret Door,"While playing hide and seek, you found a small door in your grandmother's old house. You opened it and saw...",
Writing,4,Medium,Reaching School,"In many parts of India, children face challenges to reach school. In Ladakh, children must cross wide, frozen rivers. In Kerala, some children use a small wooden boat called a vallam to reach their school. In the jungles of Assam, they often walk across strong bamboo bridges built over rivers.",
Writing,4,Medium,A Letter to Grandma,Your grandmother lives in another city. You miss her and want to tell her about your school.,
Writing,4,Medium,The Brave Firefighter,Firefighters are brave. They risk their lives to save people from dangerous fires.,
Writing,5,Medium,Plastic Pollution,Plastic bags and bottles are choking our oceans and harming animals. We need to stop using single-use plastic.,
Writing,5,Medium,My Role Model,"A role model is someone you admire and want to be like. It could be a parent, a teacher, or a famous person.",
Writing,5,Medium,The Time Machine,You have built a time machine. You can go to the past to see dinosaurs or to the future to see flying cars.,
